DATE_timestamp_week;slope_Temp;slope_Irrad;intercept;minimum
0;-59.748201438848916;-368.30957673495453;1227.7974082964333;205.99204021179818
1;-60.126696832579185;-1387.420440927307;1212.1131299502697;188.3883588138151
10;-60.18115942028986;-849.7333464077325;1127.286364832076;182.0004007287043
100;-62.16417910447761;-1345.5029018934183;1085.310800450138;194.0489822917697
101;-60.0752587017874;-1536.6145496540107;1056.0539882132127;195.89886834625486
102;-61.25237191650854;-556.601251706722;1014.929115823709;190.14757427701193
103;-59.866028708133975;-561.4489384757838;998.4384848588902;179.0000292006606
104;-60.38610038610039;-1052.7468619771184;1024.0468612755567;160.00564948103988
105;-60.737864077669904;-737.3755538095877;1042.3459392853724;163.86517294522196
106;-61.09375000000001;-246.7127842559363;1055.2745014264544;174.01923921766837
107;-61.45383104125736;-608.2741742407957;1167.3381666539983;170.00001742372567
108;-61.81818181818181;-651.4636215323313;1215.6924890559467;164.2684929690012
109;-62.06349206349206;-1439.1104206178322;1192.225928012279;174.8286200286729
11;-59.53405017921146;-1178.162083038015;1106.0675254430948;181.99092140752785
110;-62.31075697211155;-1338.1505255296117;1163.3731557501092;174.99846564072197
111;-62.56;-844.7446767965668;1119.6662587759818;174.92735492494884
112;-62.811244979919685;-522.5643352366565;1211.1876066911611;183.65593244115942
113;-72.1852970795569;-1281.3043071350226;1238.1376086042553;171.99973708964396
114;-72.4040404040404;-439.21053969468966;1284.6755581480809;170.99357357109295
115;-65.8966565349544;-1003.7575463991486;1190.7546815836602;169.3659418261789
116;-63.73983739837398;-9.199935147467171;1192.3294870031032;161.36839777767275
117;-65.0;-1555.5748127006095;1204.4264872137746;145.0292575526121
118;-63.64754098360656;-562.7170108280341;1172.751888010345;161.7886786307278
119;-63.90946502057613;-919.0853171341082;1055.8832131815998;168.00510515416914
12;-59.78723404255319;-648.9019832943494;1114.4307150320396;173.9953338006223
120;-64.17355371900827;-642.0587113328044;1040.941035979903;179.99968161038774
121;-65.29896907216495;-124.19607843137256;1204.2797086979126;181.86600354973484
122;-69.67078189300412;-66.39215686274505;1273.131511116403;181.97905070891818
123;-71.02669404517454;-45.21568627450981;1278.1230917942019;180.9879084834791
124;-73.27868852459015;-35.05882352941177;1341.125561483053;184.00359696215733
125;-76.72396359959556;-14.840585993995868;1374.5900240936965;184.26758488598222
126;-75.72854291417165;-2.9209817694781552;1379.941578408757;180.99110447292185
127;-74.75862068965517;-2.105693845940326;1389.7892844962923;181.45204866540146
128;-74.12451361867704;-2.1186455171240857;1424.8299624156011;181.4973191349034
129;-81.80249280920421;-3.6673414073223602;1500.6364877502824;179.1832732613967
13;-60.53859964093357;-704.4877736298675;1101.7339158415487;184.99996258992675
130;-80.64272211720227;-2.585888875006591;1597.4952439327494;184.6202179860026
131;-75.67567567567568;-1.6481216974459167;1581.04439141214;187.48396283528848
132;-71.72794117647058;-1.5676695292844987;1599.6931534040068;189.59141448408747
133;-64.41366574330563;-2.25947813061129;1665.0260490332034;189.9988695444473
134;-61.1317254174397;-1.0404412858660739;1548.3761455956435;141.97358825204716
135;-68.27397260273973;-0.6397802388111983;1547.399538254403;135.00064607773695
136;-68.74551971326164;-0.3954674845951113;1492.1936377522254;122.29046717693298
137;-58.03163444639719;-0.4496417698665632;1395.350726853865;115.25041200678888
