model;mae;rmse;r2;resid_1h;resid_3h;resid_6h
TOW;188.81054767994556;259.5081144171641;0.7433398413621666;6151070.022317266;18172970.296761446;35672453.69578119
ClustH;184.09335446885177;267.28447046441755;0.7277273444935696;5997393.301886253;17566269.27056739;34362824.02043161
ClustH_PRED;192.70920285280008;271.2038225463713;0.7196838064779226;6278080.410538521;18335966.758267492;35807819.06202808
